session_id,x_um,y_um,date_yyyymmdd,time_hhmm,total_captured_sweeps,saved_sweeps,sweeps_per_block,samples_per_block,csv_path,meta_path,timestamp,notes,fs_hz,force_available,x_force_available,z_force_available,total_force_samples,calibration_offset_x,calibration_offset_z,force_note,timing_csv
180_20260224_1537,,,20260224,1537,30207,30207,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/180_20260224_1537.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/180_20260224_1537_metadata.json,2026-02-24 15:37:14,dz=180,1424.5014245014245,true,true,true,420,4335.5,-44237.1,Force data synchronized with ADC samples (calibrated to zero at connection),/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1536_block_timing.csv
190_20260224_1538,,,20260224,1538,28159,28159,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/190_20260224_1538.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/190_20260224_1538_metadata.json,2026-02-24 15:38:24,dz=190,1424.5014245014245,true,true,true,392,4335.5,-44237.1,Force data synchronized with ADC samples (calibrated to zero at connection),/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/190_20260224_1538_block_timing.csv
200_20260224_1539,,,20260224,1539,36181,36181,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/200_20260224_1539.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/200_20260224_1539_metadata.json,2026-02-24 15:39:21,dz=200,1424.5014245014245,true,true,true,504,4335.5,-44237.1,Force data synchronized with ADC samples (calibrated to zero at connection),/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/200_20260224_1538_block_timing.csv
_20260224_1058,,,,,34986,34986,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1058.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1058_metadata.json,2026-02-24 10:58:16,dz=50,1424.5014245014245,true,true,true,484,4335.5,-44237.1,Force data synchronized with ADC samples (calibrated to zero at connection),/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1057_block_timing.csv
_20260224_1059,,,,,38229,38229,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1059.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1059_metadata.json,2026-02-24 10:59:26,dz=100,1424.5014245014245,true,true,true,529,4335.5,-44237.1,Force data synchronized with ADC samples (calibrated to zero at connection),/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1058_block_timing.csv
_20260224_1100,,,,,31914,31914,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1100.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1100_metadata.json,2026-02-24 11:00:16,dz=150,1424.5014245014245,true,true,true,441,4335.5,-44237.1,Force data synchronized with ADC samples (calibrated to zero at connection),/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1059_block_timing.csv
_20260224_1101,,,,,31914,31914,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1101.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1101_metadata.json,2026-02-24 11:01:09,dz=200,1424.5014245014245,true,true,true,440,4335.5,-44237.1,Force data synchronized with ADC samples (calibrated to zero at connection),/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1100_block_timing.csv
_20260224_1102,,,,,34303,34303,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1102.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1102_metadata.json,2026-02-24 11:02:02,dz=250,1424.5014245014245,true,true,true,475,4335.5,-44237.1,Force data synchronized with ADC samples (calibrated to zero at connection),/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1101_block_timing.csv
_20260224_1103,,,,,29354,29354,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1103.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1103_metadata.json,2026-02-24 11:03:45,dz=300,1424.5014245014245,true,true,true,405,4335.5,-44237.1,Force data synchronized with ADC samples (calibrated to zero at connection),/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1103_block_timing.csv
_20260224_1104,,,,,30378,30378,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1104.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1104_metadata.json,2026-02-24 11:04:35,dz=0,1424.5014245014245,true,true,true,420,4335.5,-44237.1,Force data synchronized with ADC samples (calibrated to zero at connection),/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1104_block_timing.csv
_20260224_1506,,,,,32085,32085,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1506.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1506_metadata.json,2026-02-24 15:06:19,dz=160,1424.5014245014245,true,true,true,447,4335.5,-44237.1,Force data synchronized with ADC samples (calibrated to zero at connection),/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/linearity_test_ch5/_20260224_1505_block_timing.csv
