channel,session,pulse,edge_sample,edge_time_s,baseline_V,amplitude_V,tau_s,tau_ms,tau_samples,r2
1,20260506_1408,1,9191,6.167161000037546,1.6592332827841763,0.4752373878909451,0.017777539603640112,17.77753960364011,26.494097769794163,0.9986477804135305
1,20260506_1408,2,21167,14.203057000086469,1.6582778913179532,0.4923149936651485,0.018384688215717992,18.384688215717993,27.39893921848892,0.9988933275803604
1,20260506_1408,3,31866,21.382086000130172,1.6583440376615153,0.489995404665546,0.017503068684573863,17.50306868457386,26.085050200398367,0.9988421474531247
1,20260506_1408,4,42704,28.65438400017445,1.6554244090742962,0.48314164560414896,0.017651990503244896,17.651990503244896,26.30699031764148,0.9987671662989883
1,20260506_1408,5,53534,35.921314000218686,1.65645766612952,0.4942180933909551,0.017782696031029242,17.782696031029243,26.501782460388945,0.9988836967152089
2,20260506_1410,1,8419,5.649149000004481,1.658335660012782,0.47292821724022005,0.018567537270979872,18.567537270979873,27.67144153646072,0.998147284977628
2,20260506_1410,2,17390,11.668690000009256,1.6586158608594457,0.485660683217487,0.018083949401022082,18.083949401022082,26.950744263796924,0.9988215458189255
2,20260506_1410,3,25609,17.18363900001363,1.6587634756729606,0.4768260271392641,0.018253225558537506,18.253225558537505,27.203018716129694,0.9988899625935042
2,20260506_1410,4,34797,23.348787000018522,1.6588838512533317,0.4754534906868365,0.01823899127993285,18.23899127993285,27.181805186167484,0.9987808890417889
2,20260506_1410,5,43766,29.366986000023296,1.6586529993940788,0.4689261980063471,0.018384626830375107,18.384626830375108,27.398847735261583,0.9978335327762683
3,20260506_1410,1,12073,8.100983000006426,1.6600025576902468,0.47916266523914147,0.01783424325534672,17.83424325534672,26.57860395727656,0.9978481263143406
3,20260506_1410,2,20808,13.962168000011076,1.6589503395319036,0.481453942162481,0.018112754718027254,18.112754718027254,26.993673201211454,0.9981248402117587
3,20260506_1410,3,28461,19.09733100001515,1.659920772741146,0.47519784695811446,0.017871348532679285,17.871348532679285,26.63390243318198,0.9979359621860473
3,20260506_1410,4,35738,23.980198000019023,1.6601965254859383,0.4835561763781792,0.01781336614113736,17.813366141137358,26.5474905232835,0.9978965690034717
3,20260506_1410,5,43533,29.210643000023172,1.6588784453778098,0.4815442487880593,0.018124066744315413,18.124066744315414,27.01053166065728,0.9982840313721872
4,20260506_1411,1,9876,6.626796000005257,1.6577986590544729,0.4717615044275188,0.017972647668670422,17.972647668670422,26.78486984896597,0.9971594670645905
4,20260506_1411,2,17021,11.42109100000906,1.6578617180015098,0.4784764100313706,0.018144399504273313,18.144399504273313,27.040833836451444,0.9967902454691633
4,20260506_1411,3,24858,16.67971800001323,1.6587965795370765,0.46712479158497766,0.017737568668485734,17.737568668485736,26.434528567021854,0.9977701957541631
4,20260506_1411,4,32752,21.976592000017433,1.658096633230272,0.46457066067423236,0.01759577967003092,17.595779670030918,26.223218584227958,0.9976188079251981
4,20260506_1411,5,39930,26.793030000021254,1.6586298903388097,0.47255257638069953,0.017723218868034938,17.723218868034937,26.413142873354513,0.99696588274326
5,20260506_1412,1,10585,7.102535000005634,1.6583077682077858,0.4671900236076033,0.017805457978338535,17.805457978338534,26.535704885729373,0.9973703942120694
5,20260506_1412,2,17666,11.853886000009403,1.6580188291994127,0.455987452064297,0.01822439762524044,18.22439762524044,27.16005607336212,0.9958102309791015
5,20260506_1412,3,24989,16.7676190000133,1.6575648454063492,0.46781572371014973,0.018088554040854507,18.088554040854508,26.957606618241666,0.9961248953376631
5,20260506_1412,4,32763,21.98397300001744,1.6583911887987308,0.463279502236367,0.018144575200976457,18.14457520097646,27.041095679526176,0.9952163694342703
5,20260506_1412,5,40272,27.022512000021436,1.6581782167199302,0.4869127839827578,0.01745049201629209,17.450492016292092,26.00669451010171,0.9968053802459033
