Y_POS,DISP,DONE?,NOTES,,
600,0.6,x,disp=0.2,,
-1200,-1.8,x,disp=0.3,,
-800,0.4,x,disp=0.3,,
1400,2.2,x,disp=0.25,,
400,-1,x,disp=0.2,,
1000,0.6,x,disp=0.2,,
2000,1,x,disp=0.3,,
-1000,-3,x,disp=0.3,,
-1800,-0.8,x,disp=0.35,,
0,1.8,x,disp=0.2,,
-1400,-1.4,x,disp=0.3,,
200,1.6,x,disp=0.2,,
-600,-0.8,x,disp=0.25,,
1200,1.8,x,disp=0.2,,
1800,0.6,x,disp=0.25,,
2200,0.4,x,disp=0.3,,
-400,-2.6,x,disp=0.25,,
-1600,-1.2,x,disp=0.35,,! need to recollect
800,2.4,x,disp=0.2,,
1600,0.8,x,disp=0.3,,
-200,-1.8,x,disp=0.2,,
-2200,-2,x,disp=0.35,,
